Drug_Name,Interactions
Bacitracin,"Neomycin, Streptomycin, Colistin, Colistimethate, Polymyxin B, Kanamycin, Picosulfuric acid"
Niacin,"Rosuvastatin, Glyburide, Pitavastatin, Gliquidone, Linagliptin, Fluvastatin, Cholestyramine, Canagliflozin, Atorvastatin, Repaglinide, Insulin detemir, Vildagliptin, Gliclazide, Tolbutamide, Ethanol, Simvastatin, Chlorpropamide, Insulin aspart, Saxagliptin, Alogliptin, Insulin glulisine, Colesevelam"
Clorazepic acid,"Magnesium sulfate, Ethanol, Paroxetine, Sodium oxybate, Aprepitant, Hydrocodone, Luliconazole, Dabrafenib, Saquinavir, Orphenadrine, Paraldehyde, Minocycline, Thalidomide, St. John's Wort, Dasatinib, Fosamprenavir, Siltuximab, Mifepristone, Conivaptan, Azelastine, Deferasirox, Tocilizumab, Phenelzine, Suvorexant, Ivacaftor, Idelalisib, Rufinamide, Netupitant, Yohimbine, Fosaprepitant, Methotrimeprazine, Fusidic acid, Teduglutide, Rotigotine, Tapentadol, Buprenorphine, Perampanel, Tranylcypromine, Mitotane, Stiripentol, Simeprevir, Palbociclib, Metyrosine"
Alendronic acid,"Tobramycin, Spectinomycin, Magnesium sulfate, Acetylsalicylic acid, Neomycin, Calcium carbonate, Esomeprazole, Netilmicin, Streptomycin, Aluminum hydroxide, Deferasirox, Magnesium oxide, Parathyroid hormone, Gentamicin, Arbekacin, Iron Dextran, Kanamycin, Ribostamycin"
Clofarabine,"Denosumab, Leflunomide, Metamizole, Sipuleucel-T, Roflumilast, Tofacitinib, Tacrolimus"
Dexmedetomidine,"Butobarbital, Iobenguane, Tranylcypromine, Bretylium, Primidone, Phenelzine, Tofacitinib, Ceritinib, Lacosamide, Nadolol, Ivabradine, Tizanidine, Ruxolitinib, Risperidone, Nicorandil, Hexobarbital, Levodopa, Heptabarbital"
Sulfacetamide,Mecamylamine
Prednisone,"Hydrocodone, Aprepitant, Gliquidone, Mifepristone, Vildagliptin, Trichlormethiazide, Amphotericin B, Roflumilast, Insulin aspart, Telaprevir, Deferasirox, Mitotane, Tolbutamide, Warfarin, Telithromycin, Idelalisib, Saquinavir, Phenobarbital, Nicorandil, Itraconazole, Denosumab, Leflunomide, Cobicistat, Colesevelam, Benzoic acid, Atracurium besylate, Alogliptin, Tacrolimus, Fosphenytoin, Insulin glulisine, Chlorpropamide, Canagliflozin, Isoniazid, Nefazodone, Sparfloxacin, Saxagliptin, Calcium carbonate, Corticorelin ovine triflutate, Magnesium oxide, Ketoconazole, Ceritinib, Tesamorelin, Clarithromycin, Stanolone, Primidone, Insulin detemir, Linagliptin, Rifapentine, Fosaprepitant, Aripiprazole, Repaglinide, Sipuleucel-T, Tofacitinib, Enzalutamide, Aluminum hydroxide, Darunavir, Rifampicin, Acetylsalicylic acid, Gliclazide, Glyburide, Posaconazole, Atazanavir, Indacaterol, Boceprevir"
Astemizole,"Fosaprepitant, Telaprevir, Itraconazole, Boceprevir, Saquinavir, Ketoconazole, Bicalutamide, Darunavir, Atazanavir, Clarithromycin, Delavirdine, Telithromycin, Nefazodone, Posaconazole, Cobicistat, Idelalisib, Ceritinib"
Adenosine,"Dyphylline, Dipyridamole, Aminophylline"
Simvastatin,"Siltuximab, Eltrombopag, Fenofibrate, Etravirine, Netupitant, Palbociclib, Simeprevir, Darunavir, Amiodarone, Mifepristone, Boceprevir, Aluminum hydroxide, Batimastat, Stiripentol, Gemfibrozil, Aprepitant, Dabrafenib, Deferasirox, Nefazodone, Mitotane, Raltegravir, Tocilizumab, Ivacaftor, Fosaprepitant, Nicotinamide, Saquinavir, Eslicarbazepine acetate, Lomitapide, Dronedarone, Ticagrelor, Trabectedin, Fusidic acid, Ceritinib, Ciprofibrate, Aripiprazole, Fosphenytoin, Cobicistat, St. John's Wort, Dasatinib, Teriflunomide, Bezafibrate, Acipimox, Isoflurophate, Daclatasvir, Cyproterone acetate, Calcium carbonate, Idelalisib, Telithromycin, Fosamprenavir, Verapamil, Posaconazole, Colchicine, Danazol, Pazopanib, Magnesium oxide, Conivaptan, Itraconazole, Telaprevir, Ketoconazole, Tipranavir, Luliconazole, Clarithromycin, Atazanavir"
Pemetrexed,"Floctafenine, Tofacitinib, Sipuleucel-T, Etodolac, Meloxicam, Metamizole, Denosumab, Naproxen, Diflunisal, Oxaprozin, Leflunomide, Ketoprofen, Roflumilast, Mefenamic acid, Ibuprofen, Flurbiprofen, Tacrolimus, Tiaprofenic acid"
Mebendazole,"Metronidazole, Fosphenytoin"
Mitotane,"Felodipine, Estrone sulfate, Rilpivirine, Exemestane, Itraconazole, Axitinib, Trabectedin, Romidepsin, Isosorbide mononitrate, Abiraterone, Telaprevir, Elvitegravir, Aminophylline, Trazodone, Panobinostat, Cannabidiol, Naloxegol, Etravirine, Atorvastatin, Ibrutinib, Palbociclib, Crizotinib, Verapamil, Lurasidone, Vortioxetine, Tamsulosin, Phenelzine, Prednisolone, Apremilast, Ketoconazole, Quinidine, Tolterodine, Pipotiazine, Dienogest, Zopiclone, Boceprevir, Roflumilast, Tipranavir, Solifenacin, Vemurafenib, Saquinavir, Vorapaxar, Cabazitaxel, Guanfacine, Vandetanib, Irinotecan, Vilazodone, Propafenone, Linagliptin, Brexpiprazole, Diazepam, Rolapitant, Amiodarone, Fesoterodine, Idelalisib, Lomitapide, Tiagabine, Clarithromycin, Temsirolimus, Ivacaftor, Enzalutamide, Ifosfamide, Perampanel, Riociguat, Nefazodone, Delavirdine, Sonidegib, Ospemifene, Cobicistat, Nifedipine, Trimipramine, Aprepitant, Fosaprepitant, Praziquantel, Everolimus, Tadalafil, Maraviroc, Olaparib, Dantrolene, Tofacitinib, Regorafenib, Simeprevir, Sunitinib, Daclatasvir, Pazopanib, Cortisone acetate, Ondansetron, Fentanyl, Isosorbide, Corticotropin, Zuclopenthixol, Benzphetamine, Eliglustat, Eplerenone, Estradiol, Bosutinib, Zonisamide, Nilotinib, Ixabepilone, Ulipristal, Zaleplon, Modafinil, Losartan, Spiramycin, Isosorbide dinitrate, Flurazepam, Atazanavir, Quetiapine, Methylprednisolone, Fludrocortisone, Paclitaxel, Dronedarone, Ticagrelor, Etoposide, Hydrocodone, Midazolam, Ponatinib, Clonazepam, Tasimelteon, Avanafil, Fosamprenavir, Cilostazol, Sirolimus, Nateglinide, Darunavir, Lapatinib, Aripiprazole, Apixaban, Rabeprazole, Tamoxifen, Mifepristone, Suvorexant, Netupitant, Docetaxel, Tranylcypromine, Felbamate, Buprenorphine, Silodosin, Pimozide, Hydroxyprogesterone caproate, Tetracycline, Telithromycin, Dasatinib, Doxorubicin, Norethisterone, Armodafinil, Cyproterone acetate, Artemether, Macitentan, Tolvaptan, Primaquine, Ceritinib, Lumefantrine, Triazolam, Stiripentol, Bedaquiline, Conivaptan, Ruxolitinib, Tacrolimus, Brentuximab vedotin, Flibanserin, Repaglinide, Rivaroxaban, Escitalopram, Ivabradine, Dexamethasone, Isavuconazonium, Hydrocortisone, Cabozantinib, Saxagliptin"
Stavudine,"Didanosine, Ribavirin, Doxorubicin, Hydroxyurea"
Leucovorin,"Capecitabine, Tegafur, Glucarpidase, Phenobarbital, Fosphenytoin, Primidone"
Dyphylline,"Bromazepam, Formoterol, Epinephrine, Clotiazepam, Metamfetamine, Isoprenaline, Doxofylline, Clonazepam, Terbutaline, Orciprenaline, Pancuronium, Tofisopam, Lithium cation, Camazepam, Flunitrazepam, Cinolazepam, Methoxamine, Acebutolol, Mephentermine, Nadolol, Cloxazolam, Phenmetrazine, Olodaterol, Naphazoline, Fenoterol, Clenbuterol, Ketazolam, Halazepam, Chlorphentermine, Quazepam, Probenecid, Dobutamine, Tedizolid phosphate, Riociguat, Oxymetazoline, Dopamine, Benzphetamine, Triazolam, Ritodrine, Iobenguane, Chlormezanone, Salmeterol, Fludiazepam, Indacaterol"
Pentazocine,"Thalidomide, Azelastine, Hydrochlorothiazide, Buprenorphine, Trichlormethiazide, Tienilic acid, Naltrexone, Metyrosine, Indapamide, Eluxadoline, Rotigotine, Ramosetron, Etacrynic acid, Methotrimeprazine, Acepromazine, Paroxetine, Furosemide, Ammonium chloride, Perampanel, Hydroflumethiazide, Sodium oxybate, Ethanol, Paraldehyde, Suvorexant, Cathinone, Rufinamide, Acetazolamide, Alvimopan, Chlorothiazide, Magnesium sulfate, Orphenadrine, Minocycline, Bumetanide"
Magnesium sulfate,"Oxazepam, Clonazepam, Ibandronate, Rifampicin, Felodipine, Verapamil, Mycophenolic acid, Fexofenadine, Thalidomide, Tizanidine, Magnesium citrate, Brompheniramine, Zopiclone, Trimipramine, Oxymorphone, Magnesium hydroxide, Alfentanil, Flurazepam, Bromazepam, Zaleplon, Estazolam, Doxepin, Maprotiline, Minocycline, Dimenhydrinate, Ethotoin, Azelastine, Raltegravir, Clodronic acid, Diazepam, Lurasidone, Triazolam, Pomalidomide, Phenobarbital, Promethazine, Perhexiline, Levetiracetam, Magnesium salicylate, Sodium oxybate, Paraldehyde, Flibanserin, Nalbuphine, Iloperidone, Flupentixol, Quetiapine, Mycophenolate mofetil, Tiagabine, Rifapentine, Norfloxacin, Zonisamide, Asenapine, Midazolam, Alfacalcidol, Clevidipine, Isoflurane, Chlorpheniramine, Gemifloxacin, Atracurium besylate, Desflurane, Quazepam, gamma-Hydroxybutyric acid, Levocabastine, Ofloxacin, Perampanel, Posaconazole, Calcium gluconate, Nitrous oxide, Clomipramine, Dexchlorpheniramine maleate, Itraconazole, Sufentanil, Calcium carbonate, Rocuronium, Dantrolene, Phentolamine, Calcium citrate, Desloratadine, Phenoxybenzamine, Levocetirizine, Scopolamine, Clopidogrel, Tasimelteon, Meclizine, Suvorexant, Methsuximide, Triethylenetetramine, Tetracycline, Amobarbital, Silodosin, Metaxalone, Tolevamer, Pipotiazine, Levofloxacin, Aripiprazole, Pizotifen, Ketamine, Calcium chloride, Olopatadine, Flunarizine, Tiludronic acid, Deferiprone, Methotrimeprazine, Remifentanil, Fentanyl, Diphenhydramine, Desipramine, Risperidone, Tetrabenazine, Amrinone, Ketoconazole, Brexpiprazole, Cyclizine, Risedronic acid, Orlistat, Pimozide, Stiripentol, Gabapentin enacarbil, Tapentadol, Telithromycin, Ziconotide, Nitrendipine, Bepridil, Magnesium oxide, Buprenorphine, Thioridazine, Zuclopenthixol, Tamsulosin, Carbinoxamine, Primidone, Propofol, Orphenadrine, Cyclobenzaprine, Sevoflurane, Nifedipine, Gabapentin, Ezogabine, Vecuronium, Dolutegravir, Trifluoperazine, Guanfacine, Paliperidone, Thiothixene, Fosphenytoin, Eltrombopag, Magnesium chloride, Levorphanol, Butylscopolamine, Nitrazepam, Terazosin, Felbamate, Sparfloxacin, Hydrocodone, Ramelteon, Perphenazine, Prenylamine, Vigabatrin, Clarithromycin, Pancuronium"
Latanoprost,Bimatoprost
Trazodone,"Sertindole, Tocilizumab, Zuclopenthixol, Chlorprothixene, Perphenazine, Fluspirilene, Simeprevir, Granisetron, Dasatinib, Rasagiline, Atazanavir, Thiothixene, Palbociclib, Saquinavir, Lopinavir, Sertraline, Vortioxetine, Risperidone, Mifepristone, Pimozide, Deferasirox, Dabrafenib, Amisulpride, Aprepitant, Methotrimeprazine, Boceprevir, Fosphenytoin, Stiripentol, Ivacaftor, Chlormezanone, Flupentixol, Darunavir, Fosaprepitant, Fusidic acid, Telaprevir, Paliperidone, Metoclopramide, Conivaptan, Tedizolid phosphate, Methylene blue, Acetophenazine, Fosamprenavir, Warfarin, Phenelzine, Quetiapine, Carphenazine, Idelalisib, Mesoridazine, Ondansetron, Selegiline, Isocarboxazid, Procarbazine, Thioridazine, Dapoxetine, Luliconazole, Aripiprazole, Paroxetine, St. John's Wort, Netupitant, Pipotiazine, Benzquinamide, Acepromazine, Tipranavir, Molindone, Trifluoperazine, Vilazodone, Tranylcypromine, Ethanol, Fencamfamin, Siltuximab, Moclobemide, Escitalopram"
Mecamylamine,"Sulfoxone, Sulfamethazine, Sulfacytine, Yohimbine, Clindamycin, Tolazamide, Tranylcypromine, Amifostine, Colistin, Tetracycline, Heptabarbital, Tadalafil, Tolbutamide, Vardenafil, Chlorpropamide, Silver sulfadiazine, Pentoxifylline, Ribostamycin, Nicorandil, Neomycin, Arbekacin, Furosemide, Levodopa, Ammonium chloride, Streptomycin, Sulfamethoxazole, Moxonidine, Lincomycin, Molsidomine, Primidone, Polymyxin B, Sulfasalazine, Sulfamerazine, Glipizide, Sulfapyridine, Sulfaphenazole, Obinutuzumab, Butobarbital, Etacrynic acid, Diazoxide, Gliclazide, Methenamine, Phenelzine, Indapamide, Acetazolamide, Hexobarbital, Risperidone, Minocycline, Bumetanide, Colistimethate, Sodium bicarbonate, Tobramycin, Spectinomycin, Glyburide, Netilmicin, Chlorothiazide, Kanamycin, Gentamicin, Hydrochlorothiazide"
Sevelamer,"Tacrolimus, Ofloxacin, Sparfloxacin, Cholic Acid, Mycophenolate mofetil, Gemifloxacin, Norfloxacin, Mycophenolic acid, Levofloxacin"
Metaxalone,"Paraldehyde, Minocycline, Perampanel, Paroxetine, Ethanol, Metyrosine, Sodium oxybate, Azelastine, Tapentadol, Suvorexant, Methotrimeprazine, Thalidomide, Orphenadrine, Hydrocodone, Rotigotine, Buprenorphine, Rufinamide"
Verapamil,"Fosamprenavir, Tesmilifene, Tizanidine, Abiraterone, Dabigatran etexilate, Eliglustat, Tacrolimus, Idarubicin, Telaprevir, Fosphenytoin, Pimozide, Docetaxel, Magnesium chloride, Cilostazol, Lacosamide, Sirolimus, Rifaximin, Rifampicin, Atorvastatin, Telithromycin, Pentoxifylline, Lurasidone, Itraconazole, Flecainide, Aliskiren, Salmeterol, Ivacaftor, Carfilzomib, Ondansetron, Ivabradine, Regorafenib, Brexpiprazole, Risperidone, Lopinavir, Nilotinib, Ranitidine, Magnesium oxide, Idelalisib, Vemurafenib, Bretylium, Nintedanib, Doxorubicin, Nicorandil, Molsidomine, Rivaroxaban, Riociguat, Darunavir, Olaparib, Aripiprazole, Dexamethasone, Phentolamine, Amobarbital, Obinutuzumab, Rifapentine, Atosiban, Aprepitant, Everolimus, Acetylsalicylic acid, Pancuronium, Saquinavir, Calcium citrate, Domperidone, Ruxolitinib, Tamoxifen, Ketoconazole, Daclatasvir, Dronedarone, Calcium gluconate, Dabrafenib, Ledipasvir, Tipranavir, Levodopa, Loperamide, Clarithromycin, Terazosin, Moxonidine, Sofosbuvir, Tofacitinib, Posaconazole, Saxagliptin, Budesonide, Vilazodone, Edoxaban, Brentuximab vedotin, Sufentanil, Hexobarbital, Tolvaptan, Paliperidone, Suvorexant, Magnesium citrate, Ulipristal, Tocilizumab, Pazopanib, Lithium cation, Temsirolimus, Ifosfamide, Desloratadine, Vecuronium, Calcium chloride, Fosaprepitant, Ceritinib, Dapoxetine, Phenobarbital, Dipyridamole, Tamsulosin, Naloxegol, Avanafil, Estradiol, Luliconazole, Fexofenadine, Hydrocortisone, Flibanserin, Prucalopride, Vardenafil, Amifostine, Batimastat, Trabectedin, Dantrolene, Phenoxybenzamine, Rolapitant, Etoposide, Ethanol, Isoflurophate, Fentanyl, Colchicine, Hydrocodone, Tranylcypromine, Phenelzine, Primidone, St. John's Wort, Rocuronium, Clopidogrel, Sonidegib, Dasatinib, Propafenone, Diazoxide, Mirabegron, Zuclopenthixol, Sitagliptin, Irinotecan, Apixaban, Tadalafil, Amiodarone, Magnesium hydroxide, Bosutinib, Lomitapide, Calcium carbonate, Eplerenone, Afatinib, Atracurium besylate, Mifepristone, Stiripentol, Magnesium salicylate, Paclitaxel, Fingolimod, Halofantrine, Heptabarbital, Conivaptan, Yohimbine, Quinidine, Topotecan, Ibrutinib, Fusidic acid, Butobarbital, Drospirenone, Norgestimate, Sunitinib, Silodosin, Cobicistat, Deferasirox, Vandetanib, Lapatinib, Netupitant, Carvedilol, Palbociclib, Simeprevir, Siltuximab, Daunorubicin, Zopiclone, Crizotinib, Nadolol"
Trimethobenzamide,"Aclidinium, Ramosetron, Pramlintide, Ethanol, Potassium chloride, Mianserin, Mirabegron, Tiotropium, Itopride, Trichlormethiazide, Umeclidinium, Cimetropium, Eluxadoline"
Nilutamide,"Choline C 11, Luliconazole, Dabrafenib, Lumacaftor"
Nafarelin,"Choline C 11, Corifollitropin alfa"
Epinephrine,"Isometheptene, Racepinephrine, Saxagliptin, Tedizolid phosphate, Acebutolol, Glyburide, Rasagiline, Doxofylline, Mephentermine, Chlorpropamide, Arformoterol, Ephedrine, Dihydrocodeine, Articaine, Insulin detemir, Oxymetazoline, Phenelzine, Lurasidone, Acetylsalicylic acid, Fenoterol, Isoprenaline, Insulin glulisine, Procarbazine, Levonordefrin, Tranylcypromine, Vildagliptin, Olodaterol, Ritodrine, Pseudoephedrine, Naphazoline, Lisdexamfetamine, Insulin aspart, Salmeterol, Benzylpenicilloyl polylysine, Dobutamine, Propylhexedrine, Iobenguane, Pheniramine, Isocarboxazid, Alogliptin, Benzphetamine, Pirbuterol, Repaglinide, Canagliflozin, Orciprenaline, Moclobemide, Modafinil, Vilanterol, Nadolol, Clenbuterol, Desflurane, Dopamine, Tolbutamide, Mepivacaine, Terbutaline, Salbutamol, Phendimetrazine, Diethylpropion, Sevoflurane, Armodafinil, Technetium Tc-99m tilmanocept, Phenmetrazine, Promethazine, Indacaterol, Selegiline, Dextroamphetamine, Gliclazide, Methoxamine, Dexmethylphenidate, Formoterol, Linagliptin, Aminophylline, Metamfetamine, Gliquidone, Chlorphentermine, Isoflurane, Cocaine"
Sumatriptan,"Pimozide, Carphenazine, Thioridazine, Risperidone, Granisetron, Phenelzine, Paliperidone, Amisulpride, Benzquinamide, Acepromazine, Dapoxetine, Droxidopa, Trifluoperazine, Flupentixol, Perphenazine, Aripiprazole, Quetiapine, Fluspirilene, Metoclopramide, Thiothixene, Mesoridazine, Ondansetron, Sertindole, Molindone, Methotrimeprazine, Tranylcypromine, Fencamfamin, Zuclopenthixol, Acetophenazine, Chlormezanone, Chlorprothixene"
Cefixime,"Warfarin, Spectinomycin, Neomycin, Streptomycin, Acenocoumarol, Arbekacin, Ribostamycin, Kanamycin, Probenecid, Netilmicin, Gentamicin, Picosulfuric acid, Tobramycin"
Chlorpropamide,"Darunavir, Risperidone, Pasireotide, Methylprednisolone, Carbocisteine, Methotrimeprazine, Doxepin, Clomipramine, Albiglutide, Stanolone, Ethanol, Sparfloxacin, Acebutolol, Pioglitazone, Dapagliflozin, Vorinostat, Empagliflozin, Sulfamethoxazole, Chlorothiazide, Temsirolimus, Desipramine, Dabrafenib, Sunitinib, Trimipramine, Estradiol, Dulaglutide, Gliclazide, Nateglinide, Indapamide, Dienogest, Articaine, Acenocoumarol, Carvedilol, Saquinavir, Alogliptin, Porfimer sodium, Fosamprenavir, Diazoxide, Everolimus, Glipizide, Ethynodiol diacetate, Vildagliptin, Acetylsalicylic acid, Bezafibrate, Drospirenone, Tranylcypromine, Trichlormethiazide, Mecasermin, Insulin glulisine, Linagliptin, Tolbutamide, Ranitidine, Nebivolol, Ethinylestradiol, Mifepristone, Danazol, Liraglutide, Lurasidone, Cyproterone acetate, Paliperidone, Tolazamide, Ceritinib, Dexketoprofen, Paroxetine, Methenamine, Metreleptin, Hydrochlorothiazide, Norgestimate, Sitagliptin, Dexamethasone, Gemfibrozil, Maprotiline, Histrelin, Phenelzine, Canagliflozin, Lopinavir, Tipranavir, Corticotropin, Insulin degludec, Exenatide, Penbutolol, Pentamidine, Prednisolone, Lumacaftor, Miconazole, Hydrocortisone, Iloperidone, Brexpiprazole, Triptorelin, Atazanavir, Saxagliptin, Pipotiazine, Gliquidone, Furosemide, Nadolol, Insulin aspart, Warfarin, Fludrocortisone, Sirolimus, Repaglinide, Pindolol, Ammonium chloride, Glyburide, Estrone sulfate, Norethisterone, Hydroxyprogesterone caproate, Etacrynic acid, Tacrolimus, Aripiprazole, Quetiapine, Mestranol, Bumetanide, Rifampicin, Nilotinib, Cortisone acetate, Arsenic trioxide, Asenapine, Probenecid, Buserelin, Lanreotide, Fenofibrate, Insulin detemir"
Aprepitant,"Levomilnacipran, Dabrafenib, Fentanyl, Trabectedin, Buprenorphine, Fludrocortisone, Temsirolimus, Dapoxetine, Sonidegib, Rifampicin, Naloxegol, Sunitinib, Zuclopenthixol, Norethisterone, Dantrolene, Ergotamine, Corticotropin, Escitalopram, Cabozantinib, Dienogest, Vemurafenib, Cortisone acetate, Praziquantel, Zopiclone, Hydrocortisone, Bromocriptine, Olaparib, Tolvaptan, Isosorbide, Ibrutinib, Propafenone, Halofantrine, Paclitaxel, Luliconazole, Etoposide, Nifedipine, Cinacalcet, Cocaine, Pipotiazine, Siltuximab, Silodosin, Tofacitinib, Modafinil, Methylprednisolone, Brexpiprazole, Maraviroc, Bosutinib, Tiagabine, Pazopanib, Guanfacine, Ivabradine, Warfarin, Alfentanil, Isosorbide dinitrate, Ergometrine, Hydrocodone, Netupitant, Fosaprepitant, Triazolam, Cyproterone acetate, Tamsulosin, Prednisolone, Lurasidone, Nilotinib, Isosorbide mononitrate, Quetiapine, Tadalafil, Irinotecan, Trimipramine, Fusidic acid, Axitinib, Conivaptan, Cabazitaxel, Ulipristal, Lomitapide, Regorafenib, Hydroxyprogesterone caproate, Flurazepam, Eliglustat, Domperidone, Macitentan, Doxorubicin, Aripiprazole, Zonisamide, Dexamethasone, St. John's Wort, Benzphetamine, Quinidine, Suvorexant, Solifenacin, Sirolimus, Lapatinib, Simeprevir, Ergoloid mesylate, Salmeterol, Midazolam, Sufentanil, Dronedarone, Armodafinil, Apixaban, Ifosfamide, Everolimus, Eplerenone, Tacrolimus, Isavuconazonium, Aminophylline, Tocilizumab, Ixabepilone, Vilazodone, Trastuzumab emtansine, Pimozide, Tolterodine, Flibanserin, Idelalisib, Ruxolitinib, Cilostazol, Tolbutamide, Deferasirox, Spiramycin, Avanafil, Budesonide, Paroxetine, Colchicine, Clonazepam, Daclatasvir, Fesoterodine, Saxagliptin, Dasatinib, Crizotinib, Stiripentol, Vardenafil, Mifepristone, Atorvastatin, Panobinostat, Diazepam, Felbamate, Palbociclib, Felodipine, Ivacaftor, Amiodarone"
Galantamine,"Acetophenazine, Tofacitinib, Atracurium besylate, Sertraline, Trifluoperazine, Acetylcholine, Zuclopenthixol, Benzquinamide, Vilazodone, Pimozide, Fluspirilene, Sertindole, Molindone, Chlormezanone, Fludrocortisone, Perphenazine, Nadolol, Ivabradine, Dipyridamole, Paliperidone, Fencamfamin, Mesoridazine, Paroxetine, Aripiprazole, Amisulpride, Quetiapine, Carphenazine, Mifepristone, Thiothixene, Risperidone, Flupentixol, Chlorprothixene, Thioridazine, Ondansetron, Methotrimeprazine, Ruxolitinib, Vortioxetine, Acepromazine, Lacosamide, Ceritinib, Bretylium"
Tamoxifen,"Abiraterone, Bupropion, Ospemifene, Thioridazine, Everolimus, Warfarin, Rolapitant, Terbinafine, Tocilizumab, Fusidic acid, Prucalopride, Delavirdine, Fosaprepitant, Ivacaftor, Lorcaserin, Cocaine, Palbociclib, Dabigatran etexilate, Siltuximab, Paroxetine, Rifapentine, Nilotinib, Luliconazole, Stiripentol, Anastrozole, St. John's Wort, Amiodarone, Quinidine, Letrozole, Saquinavir, Brentuximab vedotin, Mipomersen, Pazopanib, Rifampicin, Dabrafenib, Isoniazid, Simeprevir, Ledipasvir, Dasatinib, Mifepristone, Netupitant, Dronedarone, Deferasirox, Acenocoumarol, Methotrimeprazine, Idelalisib, Tranylcypromine, Afatinib, Diphenhydramine, Bosutinib, Tipranavir, Naloxegol, Eliglustat, Silodosin, Sertraline, Mirabegron, Topotecan, Doxorubicin, Rifaximin, Ketoconazole, Cinacalcet, Desipramine, Panobinostat, Conivaptan, Clomipramine, Edoxaban, Colchicine"
Isoflurophate,"Ergoloid mesylate, Nefazodone, Delavirdine, Clomipramine, Simeprevir, Fosamprenavir, Ethinylestradiol, Ergotamine, Atazanavir, Riociguat, Doxepin, Triazolam, Darunavir, Mestranol, Ethynodiol diacetate, Etravirine, Ergometrine, Rosuvastatin, Bromocriptine, Saquinavir, Clarithromycin, Tacrolimus, Pimozide, Lopinavir, Boceprevir, Atorvastatin, Norethisterone, Tipranavir, Aminophylline, Abacavir, Desipramine, Midazolam, Trimipramine, Temsirolimus"
Losartan,"Lithium cation, Siltuximab, Levodopa, Phenelzine, Deferasirox, Hexobarbital, Eplerenone, Heptabarbital, Canagliflozin, Amifostine, Dabrafenib, Tolvaptan, Aliskiren, Moxonidine, Perindopril, Primidone, Obinutuzumab, Itraconazole, Drospirenone, Tizanidine, Vardenafil, Rifampicin, Carvedilol, Heparin, Tocilizumab, Diazoxide, St. John's Wort, Posaconazole, Ketoconazole, Pentoxifylline, Tranylcypromine, Ceritinib, Butobarbital, Dapoxetine, Molsidomine, Tadalafil, Risperidone, Yohimbine, Mifepristone, Nicorandil"
Thioridazine,"Diphenhydramine, Metamfetamine, Ketoconazole, Cyclobenzaprine, Aripiprazole, Quinidine, Doxorubicin, Cinacalcet, Doxepin, Abiraterone, Panobinostat, Dapoxetine, Terbinafine, Mirabegron, Magnesium oxide, Ivabradine, Desipramine, Pramlintide, Paroxetine, Frovatriptan, Itopride, Aclidinium, Eliglustat, Isoniazid, Tizanidine, Levomilnacipran, Lorcaserin, Rolapitant, Nebivolol, Clomipramine, Tipranavir, Fesoterodine, Rizatriptan, Metoclopramide, Rivastigmine, Fentanyl, Metyrosine, Tapentadol, Potassium chloride, Brexpiprazole, Almotriptan, Porfimer sodium, Sodium oxybate, Minocycline, Phenelzine, Perampanel, Tiotropium, Umeclidinium, Darunavir, Azelastine, Amiodarone, Desvenlafaxine, Dronedarone, Moclobemide, Mequitazine, Rasagiline, Tranylcypromine, Ethanol, Ergotamine, Lithium cation, Donepezil, Escitalopram, Amisulpride, Nefazodone, Mifepristone, Ramosetron, Rufinamide, Buprenorphine, Ergoloid mesylate, Orphenadrine, Cimetropium, Phendimetrazine, Cobicistat, Delavirdine, Trichlormethiazide, Quinagolide, Tetrabenazine, Hydrocodone, Selegiline, Vilazodone, Procarbazine, Benzphetamine, Maprotiline, Thalidomide, Naratriptan, Isocarboxazid, Ergometrine, Chlorpheniramine, Tedizolid phosphate, Lisdexamfetamine, Methotrimeprazine, Pimozide, Eluxadoline, Bromocriptine, Milnacipran, Suvorexant, Cathinone, Sertraline, Promethazine, Aluminum hydroxide, Paraldehyde, Tamsulosin, Calcium carbonate, Bupropion, Stiripentol, Dextroamphetamine, Nilotinib, Trimipramine, Cocaine, Vortioxetine"
Amphotericin B,"Streptomycin, Cortisone acetate, Mometasone, Neomycin, Hydrocortisone, Colistimethate, Colistin, Netilmicin, Posaconazole, Arbekacin, Budesonide, Dexamethasone, Kanamycin, Corticotropin, Spectinomycin, Itraconazole, Ketoconazole, Flucytosine, Fludrocortisone, Gentamicin, Isavuconazonium, Tobramycin, Prednisolone, Ribostamycin, Methylprednisolone"
