drug,effect
interferon alpha,sarcoidosis
interferon alpha 2b,sarcoidosis
irinotecan,neutropenic colitis
nedaplatin,neutropenic colitis
cinacalcet hcl,severe hypercalcemia
ifosfamide,ncse
ifosfamide,neurotoxicity
ifosfamide,nonconvulsive status epilepticus
gelatine,anaphylaxis
bcg,cutaneous mycobacterial infection
bcg,disseminated tuberculous lesions
hcq,hypersensitivity rash
sumatriptan,symptomatic cerebral vasospasm
risperidone,diabetic ketoacidosis
smx,atypical lymphocytosis
sulfamethoxazole,atypical lymphocytosis
tmp,atypical lymphocytosis
trimethoprim,atypical lymphocytosis
smx,cervical lymphadenopathy
sulfamethoxazole,cervical lymphadenopathy
tmp,cervical lymphadenopathy
trimethoprim,cervical lymphadenopathy
smx,eosinophilia
sulfamethoxazole,eosinophilia
tmp,eosinophilia
trimethoprim,eosinophilia
smx,fever
sulfamethoxazole,fever
tmp,fever
trimethoprim,fever
smx,hepatosplenomegaly
sulfamethoxazole,hepatosplenomegaly
tmp,hepatosplenomegaly
trimethoprim,hepatosplenomegaly
smx,skin eruptions
sulfamethoxazole,skin eruptions
tmp,skin eruptions
trimethoprim,skin eruptions
tmp-smx,hypersensitivity syndrome
trimethoprim-sulfamethoxazole,hypersensitivity syndrome
corticosteroid,glaucoma
triamcinolone acetate,glaucoma
triamcinolone,severe vision loss
triamcinolone,visual field defects
steroid,glaucoma
triamcinolone acetonide,glaucoma
corticosteroid,severe vision loss
ifn-alpha,autoimmune thyroid disease
interferon-alpha,autoimmune thyroid disease
ifn-alpha,graves' hyperthyroidism
ifn-alpha,thyrotoxicosis
ifn-alpha,hyperthyroidism
interferon-alpha,hyperthyroidism
ifn-alpha,hyperthryroidism
ribavirin,hyperthryroidism
ifn-alpha,thyroiditis
ribavirin,thyroiditis
dipyrone,agranulocytosis
dipyrone,granulocytopenia
efalizumab,cd8+ cutaneous lymphoproliferative disorders
infliximab,cd8+ cutaneous lymphoproliferative disorders
pyrimethamine,abdominal pain
sulfadiazine,abdominal pain
pyrimethamine,fever
sulfadiazine,fever
pyrimethamine,severe cutaneous involvement
sulfadiazine,severe cutaneous involvement
pyrimethamine,swelling
sulfadiazine,swelling
pyrimethamine,transaminitis
sulfadiazine,transaminitis
sulfadiazine,hypersensitivity
carboplatin,fatal lung fibrosis
paclitaxel,fatal lung fibrosis
paclitaxel,fatal pulmonary fibrosis
paclitaxel,lung fibrosis
paclitaxel,pneumonitis
paclitaxel,pulmonary fibrosis
anti-tnf-alpha,infections
infliximab,subfulminant hepatitis b
phenol,acute unilateral total visual loss
phenol,neurotoxicity
phenol,visual loss
ifn-beta,liver injury
interferon-beta,liver injury
ifn beta,grade 3 hepatotoxicity
ifn beta,hepatotoxicity
interferon-beta,hepatotoxicity
ifn beta,hepatitis
ifn beta,liver injury
cloxacillin,acute urticaria
cloxacillin,labial angioedema
cloxacillin,allergy
cloxacillin,hypersensitivity
cloxacillin,ige-mediated allergic reactions
bcnu,cardiac toxicity
carmustine,myocardial ischemia
bcnu,myocardial ischemia
zafirlukast,hypereosinophilia
pegfilgrastim,edema
pegfilgrastim,pain in his right forearm
pegfilgrastim,rapidly progressive erythema
statin,myasthenic syndrome
statin,myasthenia gravis
azathioprine,reactivation of cytomegalovirus
hcq,ventricular tachycardia
hydroxychloroquine,qt prolongation
hydroxychloroquine,refractory ventricular arrhythmia
hcq,cardiac arrhythmias
hcq,torsade de pointes
metformin,lactic acidosis
metformin,severe acidosis
olanzapine,diabetes
olanzapine,weight gain
olanzapine,uncontrolled diabetes mellitus
olanzapine,uncontrolled diabetes
lasik,enterobacter keratitis
lasik,traumatic flap dehiscence
lasik,traumatic late flap dehiscence
docetaxel,boop
gemcitabine,boop
docetaxel,progression of the tumor
gemcitabine,progression of the tumor
docetaxel,severe respiratory insufficiency
gemcitabine,severe respiratory insufficiency
warfarin,bloody tears
warfarin,sub-conjunctival haematoma
warfarin,diplopia
warfarin,discomfort
warfarin,haematoma
warfarin,lagophthalmos
carbamazepine,angioedema
carbamazepine,maculopapular eruptions
carbamazepine,cutaneous eruptions
carbamazepine,cutaneous rashes
carbamazepine,eruptions
carbamazepine,maculopapular rash
infliximab,avp
infliximab,severe adenovirus pneumonia
infliximab,severe avp
ivermectin,severe hepatitis
ivermectin,severe liver disease
gemcitabine,radiation recall dermatitis
gemcitabine,rectus abdominus radiation recall
simvastatin,sporadic rippling muscle disease
simvastatin,rippling muscle disease
simvastatin,rmd
capecitabine,acute coronary syndrome
carbamazepine,coma
carbamazepine,respiratory depression
carbamazepine,seizures
pegvisomant,hepatic enzyme disturbances
pegvisomant,hepatitis
octreotide,hepatitis
amb,anaemia
amphotericin b,anaemia
amb,fever
amphotericin b,fever
amb,hypokalaemia
amphotericin b,hypokalaemia
amb,malaise
amphotericin b,malaise
amb,renal impairment
amphotericin b,renal impairment
temozolomide,brain abscess with listeria monocytogenes
temozolomide,cutaneous kaposi's sarcoma
temozolomide,immunosuppression
temozolomide,infections with pneumocystis jiroveci pneumonia
temozolomide,t-cell lymphocytopenia
temozolomide,kaposi's sarcoma
temozolomide,listeria brain abscess
temozolomide,pneumocystis pneumonia
mannitol,angle-closure glaucoma
methylprednisolone,angle-closure glaucoma
sumatriptan,spontaneous splenic infarction
triptan,myocardial infarction
triptan,stroke
methylprednisolone,acute myocardial infarction
radioiodine,hypothyroidism
methylprednisolone,myocardial infarction
methylprednisolone,severe hypertension
glucocorticoids,myocardial infarction
sasp,psoriasis-like skin reaction
sulphasalazine,psoriasis-like skin reaction
vincristine,bilateral ptosis
vincristine,cranial polyneuropathy
morphine,acute generalized exanthematous pustulosis
morphine,facial flushing
morphine,hyperhidrosis
erlotinib,skin manifestations
benzoyl peroxide,allergic contact angioedema
bp,severe angioedematous reaction
5-fluorouracil,acute confusional state
caffeine,suicide attempt
dapsone,hypersensitivity syndrome
diamorphine,anaphylaxis
aprotinin,systemic allergic reaction
carbamazepine,nms
divalproex sodium,nms
topiramate,nms
venlafaxine,nms
carbamazepine,ss
divalproex sodium,ss
risperidone,ss
topiramate,ss
venlafaxine,ss
phenytoin,fever
phenytoin,maculopapular rashes
lamotrigine,localized purpura
lisinopril,acute renal failure
losartan,acute renal failure
lisinopril,hypotension
losartan,hypotension
5-fluorouracil,reversible corneal keratinization
rituximab,bronchiolitis obliterans with organizing pneumonia
rituximab,boop
thrombin,severe arterial thrombotic events
thrombin,arterial thrombosis
oxaliplatin,hemolytic and/or thrombocytopenic reactions
oxaliplatin,hemolytic uremic syndrome
5-fluorouracil,hemolytic-uremic syndrome
leucovorin,hemolytic-uremic syndrome
oxaliplatin,hemolytic-uremic syndrome
zyprexa,agranulocytosis
olanzapine,neutropenia
zyprexa,neutropenia
phenothiazines,agranulocytosis
phenothiazines,neutropenia
thiazide,neutropenia
olanzapine,severe neutropenia
olanzapine,camptocormia
olanzapine,mild parkinsonian signs
mirtazapine,symptomatic hyponatremia
citalopram,hyponatremia
mirtazapine,hyponatremia
citalopram,recurrent hyponatremia
mirtazapine,recurrent hyponatremia
interferon (ifn)-beta-1b,nephrotic syndrome
ifn,nephrotic syndrome
interferon-beta-1b,nephrotic syndrome
ifn-beta-1b,nephrotic syndrome
ifn-beta-1b,proteinuria
homochlorcyclizine hydrochloride,dyspnea
calcium stearate,acute eosinophilic pneumonia
calcium stearate,pulmonary disease
zoledronic acid,scleritis
zoledronic acid,severe unilateral posterior scleritis
rituximab,hepatitis b virus reactivation
rituximab,hbv reactivations
rituximab,hbv reactivation
azathioprine,cryptococcal meningitis
prednisolone,cryptococcal meningitis
doxorubicin,intertrigo-like eruption
pld,eruption
pld,erosions in the axilla and groin
pld,erythema
warfarin,skin necrosis
indomethacin,premature closure of the ductus arteriosus
indomethacin,hypoxia
indomethacin,premature ductal closure
indomethacin,ductal closure
moxifloxacin,corneal ulcers
fluoroquinolone,severe corneal toxicity
nimesulide,acute generalized exanthematous pustulosis
nimesulide,agep
amphotericin b deoxycholate,bradycardia
amphotericin b deoxycholate,cardiac toxicity
amphotericin b deoxycholate,ventricular arrhythmias
amphotericin b,fatal cardiac arrhythmia
benfluorex,valvular heart disease
lp-tae,liver dysfunction
lp-tae,localized pain
lp-tae,low-grade fever
lp-tae,myelo-suppression
tacrolimus,acute renal failure
tacrolimus,hus
tacrolimus,arf
nevirapine,fulminant hepatitis
viramune,fulminant hepatitis
cyclosporin,cholelithiasis
cyclosporin,thrombosis of the central retinal vein
azathioprine,thrombosis
cyclosporin,thrombosis
prednisone,thrombosis
cyproterone acetate,hepatotoxicity
cpa,severe hepatotoxic reactions
cs,cutaneous leishmaniasis
corticosteroid,leishmania infantum leishmaniasis
cs,leishmania infantum leishmaniasis
corticosteroid,lingual leishmaniasis
cs,lingual leishmaniasis
ritalin,glaucoma
methylphenidate,cataract
methylphenidate,glaucoma
ritalin,cataract
avastin,cbs
avastin,charles-bonnet syndrome
avastin,transient structured visual hallucinations
bevacizumab,visual hallucinations
metoclopramide,oculogyric crisis
cyclosporine,nephrotoxicity
quinapril,prolonged hypotension
quinapril,transient renal impairment
actinomycin-d,cardiomyopathy
adriamycin,cardiomyopathy
mithramycin,cardiomyopathy
actinomycin-d,exacerbations of the heart failure
mithramycin,exacerbations of the heart failure
nsc-24559,exacerbations of the heart failure
nsc-3053,exacerbations of the heart failure
mesalazine,cardiac hypersensitivity
mesalazine,myopericarditis
mesalazine,pericarditis
erlotinib,hepatitis
erlotinib,acute severe hepatitis
gefitinib,acute severe hepatitis
erlotinib,hepatotoxicity
cialis,fixed drug eruption
tadalafil,fixed drug eruption
docetaxel,pulmonary toxicity
docetaxel,fatal interstitial pneumonitis
docetaxel,subacute interstitial pneumonitis-related pulmonary fibrosis
sulfamethoxazole,fulminant microangiopathic hemolytic anemia
trimethoprim,fulminant microangiopathic hemolytic anemia
sulfamethoxazole,thrombocytopenia
trimethoprim,thrombocytopenia
sulfamethoxazole,thrombotic thrombocytopenic purpura
trimethoprim,thrombotic thrombocytopenic purpura
valproic acid,juvenile absence epilepsy
paradoxical,seizure exacerbation
valproic acid,seizure exacerbation
avastin,acute endophthalmitis
bevacizumab,acute endophthalmitis
bevacizumab,infectious endophthalmitis
bevacizumab,age-related macular degeneration
bevacizumab,painless infectious endophthalmitis
lithium,pulmonary hypertension
infliximab,arthritis
perospirone hydrochloride,circulatory collapse
perospirone hydrochloride,deep coma
perospirone hydrochloride,diabetic ketoacidosis
imatinib,fatal venous thrombembolism
imatinib,deep vein thrombosis
cisplatin,status epilepticus
gemcitabine,status epilepticus
methadone,fluctuation of the qt interval
methadone,prolonged qt
fluvoxamine maleate,piloerection
milnacipran hydrochloride,piloerection
fluvoxamine,piloerection
milnacipran,piloerection
tobramycin,recurrent eosinophilia
tobramycin,severe persistent bronchospasm
tobramycin,deterioration of pulmonary function
bisphosphonate,osteonecrosis of the mandible
amiodarone,aggravation of arrhythmia
amiodarone,hepatotoxicity
amiodarone,pulmonary toxicity
amiodarone,thyroid diseases
amiodarone,pancreatitis
amiodarone,acute pancreatitis
etanercept,tuberculous uveitis
pemetrexed,melanonychia
pemetrexed,onycholysis
infliximab,osteomyelitis
citalopram,serotonin syndrome
fentanyl,serotonin syndrome
citalopram,agitation
fentanyl,agitation
citalopram,confusion
fentanyl,confusion
citalopram,myoclonic jerks
fentanyl,myoclonic jerks
citalopram,tachycardia
fentanyl,tachycardia
citalopram,tremors
fentanyl,tremors
citalopram,unsteady gait
fentanyl,unsteady gait
methotrexate,renal failure
hdmtx,renal failure
docetaxel,meibomian duct inflammation and blockage
docetaxel,chalazion
docetaxel,eye irritation and dryness
gemcitabine,recall pneumonitis
gemcitabine,dry cough
gemcitabine,dyspnea
gemcitabine,subfebrile temperatures
gemcitabine,radiation recall pneumonitis
vancomycin,neutropenia
teicoplanin,neutropenia
teicoplanin,agranulocytosis
pentamidine,cutaneous ulceration
pentamidine,chemical cellulitis
pentamidine,ulceration
peginterferon alfa-2a,disfiguring facial edema
ribavirin,disfiguring facial edema
interferon alpha 2-beta,tumor-volume increase
flecainide,cardiovascular collapse
ezetimibe,acute pancreatitis
ezetimibe,pancreatitis
raloxifene,aggravation of nonalcoholic steatohepatitis
raloxifene,nash
danazol,liver damage
danazol,hepatic damage
lenalidomide,hypersensitivity pneumonitis-like syndrome
lenalidomide,diffuse pulmonary infiltrates
lenalidomide,dyspnea
lenalidomide,fever
lenalidomide,hypoxia
thalidomide,fever
thalidomide,pulmonary infiltrates
triamcinolone,exacerbation of retinochoroiditis
ethambutol,rapid cognitive decline
ethambutol,acute onset psychosis
interferon-alpha,psoriasis
recombinant human interferon-alpha,exacerbate psoriasis or trigger off its onset
sulfamethoxazole,generalized erythema
trimethoprim,generalized erythema
sodium valproic acid,raised intracranial pressure
vpa,raised intracranial pressure
sodium valproic acid,severe cerebral swelling
vpa,severe cerebral swelling
valproic acid,raised intracranial pressure
bleomycin,hyperpigmentation
bleomycin,skin toxicity
bleomycin,localized pigmentation
cisplatin,localized pigmentation
etoposide,localized pigmentation
capecitabine,headache
capecitabine,headaches
5-fu,headaches
lithium,brugada type electrocardiographic changes
propafenone,brugada type electrocardiographic changes
propafenone,st elevation in right precordial leads
propafenone,type 1 brugada syndrome
dexamethasone,gastritis
doxorubicin,mucositis
bortezomib,gastrointestinal side effect
bortezomib,paralytic ileus
bortezomib,severe paralytic ileus
phenelzine,delusional parasitosis
rituximab,alveolar hemorrhage
rituximab,interstitial pneumonitis
rituximab,delayed pulmonary toxicity
metoclopramide,neuroleptic malignant syndrome
pge1,gastric mucosa foveolar hyperplasia
colchicine,fatigue
colchicine,leg weakness
colchicine,myalgia
colchicine,rhabdomyolysis
colchicine,rhabdomylysis
5-fluorouracil,cardiotoxicity
acetic acid,vagina bleeding
interferon-gamma,systemic lupus erythematosus
recombinant human interferon gamma,sle
rifn-gamma,sle
recombinant human interferon gamma,systemic lupus erythematosus
rifn-gamma,systemic lupus erythematosus
bisphosphonate,osteochemonecrosis of the jaw
clozapine,eosinophilia
mmf,red blood cell anemia
prednisone,red blood cell anemia
mycophenolate mofetil,red blood cell anemia
mmf,anemia
cyclosporine,anemia
prednisone,anemia
oxcarbazepine,angioedema
oxcarbazepine,angioneurotic edema
azathioprine,vod
tacrolimus,hepatic vod
carbamazepine,hypersensitivity syndrome
etoposide,pulmonary toxicity
l-tryptophan,eosinophilia-myalgia syndrome
rfp,hypothyroidism
rifampin,hypothyroidism
rfp,hashimoto's thyroiditis
rifampin,hashimoto's thyroiditis
nabumetone,pulmonary fibrosis
cyclosporine,rhabdomyolysis
simvastatin,rhabdomyolysis
interferon alpha,generalized lichen nitidus
ribavirin,generalized lichen nitidus
interferon alpha,lichen nitidus
clopidogrel,sirolimus-eluting stent thrombosis
atra,teratogenic effect
gefitinib,ild
gefitinib,interstitial lung disease
erlotinib,pulmonary toxicity
erlotinib,pulmonary fibrosis
erlotinib,ild
erlotinib,fatal pulmonary toxicity
fluoroquinolone,torsade de pointes
moxifloxacin,torsade de pointes
glypressin,skin necrosis
terlipressin,skin necrosis
statin,myopathy
colchicine,muscle weakness
simvastatin,muscle weakness
statin,muscle weakness
colchicine,acute weakness
simvastatin,acute weakness
simvastatin,mild chronic renal insufficiency
methotrexate,pneumocystis carinii pneumonia
methotrexate,fever
methotrexate,hypoxia
methotrexate,pneumocystis pneumonia
methotrexate,pulmonary infiltrates
desferrioxamine,unilateral hearing loss
leflunomide,abdominal sepsis
leflunomide,cellulitis
leflunomide,disseminated herpes zoster
leflunomide,gastroenteritis
leflunomide,infection
leflunomide,lower respiratory tract infections
leflunomide,mycotic aneurysm
leflunomide,tb liver
leflunomide,infections
leflunomide,severe infections
sulfasalazine,fever
sulfasalazine,leukocytopenia
sulfasalazine,skin eruptions
sulfasalazine,thrombocytopenia
sulfasalazine,hemophagocytic syndrome
sulfasalazine,hypersensitivity syndrome
carbamazepine,status migrainosus
cbz,status migrainosus
oxc,status migrainosus
oxcarbazepine,status migrainosus
oxcarbazepine,headache
dobutamine,myoclonic muscle spasms
dobutamine,myoclonus
calcium polystyrene sulfonate,colonic perforation
sorbitol,colonic perforation
calcium polystyrene sulfonate,colonic ulcer
sorbitol,colonic ulcer
calcium polystyrene sulfonate,sigmoidovesical fistula
sorbitol,sigmoidovesical fistula
efavirenz,psychosis
infliximab,mycobacterium marinum infection
adenosine,sustained monomorphic ventricular tachycardia
clozapine,tardive ogc
clozapine,tardive oculogyric crisis
metronidazole,neuropathy
metronidazole,sensory neuropathy
methotrexate,infection with both m. tuberculosis and m. chelonae
thalidomide,sustained ventricular tachycardia
thalidomide,multiple syncopal episodes
glatiramer acetate,ecm
glatiramer acetate,embolia cutis medicamentosa
glatiramer acetate,skin necrosis
amiodarone,hypothyroidism
amiodarone,thyroid dysfunction
quetiapine,leucocytopenia
quetiapine,thrombocytopenia
amphotericin b,cutaneous leucocytoclastic vasculitis
amphotericin b,palpable purpuric skin lesions
5-fu,cardiotoxicity
5-fluorouracil,transient asymptomatic bradycardia
5-fu,transient asymptomatic bradycardia
methotrexate,papular eruption
methotrexate,diffuse papular eruption
methotrexate,cutaneous vasculitis
methotrexate,diffuse pruritic papular eruption
acetazolamide,metabolic acidosis
acetylsalicylic acid,pericardial hemorrhage
nelfinavir,cutaneous rash
indinavir,fever
efavirenz,nausea
indinavir,renal colic
efavirenz,temporary memory loss
methotrexate,sub-acute neurotoxicity
methotrexate,sub-acute toxic leukoencephalopathy
methotrexate,sub-acute leukoencephalopathy
etanercept,cd
etanercept,immune-mediated injury
etanercept,crohn's disease
aspirin,upper gastrointestinal haemorrhage
clopidogrel,upper gastrointestinal haemorrhage
doxorubicin,breathing distress
doxorubicin,thoracic pain
cyproterone acetate,severe hepatocellular dysfunction
cpa,fatal fulminant hepatitis
cpa,severe hepatocellular damage
acyclovir,vzv antigen-positive zoster
temozolomide,fever
temozolomide,exfoliative rash
temozolomide,rash
temozolomide,desquamative skin rash
tobramycin sulfate,exfoliative dermatitis
tobramycin,exfoliative dermatitis
rituximab-chop,interstitial pneumonitis
phenytoin,cerebellar syndrome
trastuzumab,pneumonitis
trastuzumab,plural effusion dyspnoea
trastuzumab,pulmonary infiltrates
trastuzumab,interstitial lung disease
4-chloro-7-nitrobenzofurazan,acute allergic contact dermatitis
nbd-cl,acute allergic contact dermatitis
4-chloro-7-nitrobenzofurazan,allergic contact dermatitis
aripiprazole,photo-onycholysis
olanzapine,photo-onycholysis
leflunomide,diffuse alveolar hemorrhage
leflunomide,hemoptysis
leflunomide,severe weakness
leflunomide,short-of-breath
carbamazepine,hyponatraemia
carbamazepine,antidiuresis
cyclosporine,severe systemic cmv infection
imatinib,hepatotoxicity
imatinib mesylate,fatal acute hepatic failure
imatinib,acute liver failure
imatinib,herpetic rash
olanzapine,hyperglycemia
pegylated interferon alpha-2a,adult respiratory distress syndrome
ribavirin,adult respiratory distress syndrome
pegifnalpha-2a,adult respiratory distress syndrome
pegifnalpha-2a,ards
pegylated interferon alpha-2a,ards
ribavirin,ards
clomiphene citrate,bilateral anterior uveitis
atomoxetine,tics
alpha-2b peginterferon,type 1 diabetes mellitus
ribavirin,type 1 diabetes mellitus
recombinant alpha-2b peginterferon,type 1 diabetes mellitus
peginterferon alpha-2b,type 1 diabetes mellitus
ranibizumab,ocular hypertension
ranibizumab,sustained ocular hypertension
ranibizumab,persisent ocular hypertension
dextroamphetamine,peripheral vasculopathy
methylphenidate,peripheral vasculopathy
dextroamphetamine,acral cyanosis
methylphenidate,acral cyanosis
dextroamphetamine,livedo reticularis
methylphenidate,livedo reticularis
dextroamphetamine,raynaud phenomenon
methylphenidate,raynaud phenomenon
efalizumab,disseminated eruptive giant mollusca contagiosa
efalizumab,eruptive mollusca contagiosa
tamoxifen,cervical adenocarcinoma
tamoxifen,gastric tumor
pegaptanib,incomplete posterior hyaloid detachment
enalaprilat,acute parotitis
enalaprilat,acute bilateral parotitis
oxybutynin,acute bilateral blindness
oxybutynin,focal seizure
oxybutynin,hypertension
sibutramine,severe symptomatic hyponatremia
sibutramine,hypertension
sibutramine,tachycardia
sibutramine,hyponatremia
pregabalin,cortical negative myoclonus
pregabalin,negative myoclonus
muzolimine,severe neuromyeloencephalopathy
muzolimine,fatal neuromyeloencephalopathy
l-asparaginase,posterior reversible encephalopathy
l-asparaginase,posterior reversible encephalopathy syndrome
l-asparaginase,pres
l-asparaginase,altered sensorium
anastrozole,sclerosing glomerulonephritis
anastrozole,renal injury
anastrozole,decrease in both lumbar spine
anastrozole,increase in the cholesterol level
anastrozole,increase in the incidence of all bone fractures
anastrozole,joint disorders
anastrozole,acute renal failure
itraconazole,acute hepatitis
itraconazole,severe and irreversible hepatotoxic events
itraconazole,fatal hepatitis
itraconazole,acute cytolytic hepatitis
itraconazole,hepatitis
itraconazole,severe symptomatic hepatitis
baclofen,impair sexual function
baclofen,sexual dysfunction
recombinant insulin-like growth factor-i,anaphylactic reaction
increlex,anaphylaxis
olanzapine,rls
olanzapine,periodic limb movements during sleep
olanzapine,restless legs syndrome
olanzapine,agitation
olanzapine,paraesthesia
olanzapine,rls symptoms
olanzapine,plms
olanzapine,akathisia
risperidone,akathisia
risperidone,rls
alendronate,nodular scleritis
alendronate,scleritis
alendronate sodium,nodular scleritis
alendronate sodium,scleritis
ciprofloxacin,prolonged ect seizure
cefotiam,tardive seizures
piperacillin,tardive seizures
levofloxacin,acute delirium
gatifloxacin,dizziness
grepafloxacin,dizziness
levofloxacin,dizziness
moxifloxacin,dizziness
sparfloxacin,dizziness
trovafloxacin,dizziness
gatifloxacin,headache
grepafloxacin,headache
levofloxacin,headache
moxifloxacin,headache
sparfloxacin,headache
trovafloxacin,headache
gatifloxacin,insomnia
grepafloxacin,insomnia
levofloxacin,insomnia
moxifloxacin,insomnia
sparfloxacin,insomnia
trovafloxacin,insomnia
levofloxacin,delirium with psychotic features
levofloxacin,acute-onset delirium with psychotic features
copaxone,crohn's disease
copaxone,long-term immunosuppression
copaxone,gastrointestinal symptoms
ketoconazole,obsessional-like suicidal ideas and images
terlipressin,prolonged qt interval
terlipressin,torsade de pointes
terlipressin,ventricular arrhythmia
bevacizumab,spontaneous nasal septal perforation
vrc,angio-oedema
voriconazole,angio-oedema
bupropion,multiple seizures
bupropion,agitation
bupropion,hallucinations
bupropion,seizures
bupropion,tachycardia
bupropion,vomiting
methylphenidate,enuresis
cephalosporin,leukopenia
cefazolin,leukopenia
pres,cyclosporine
pres,posterior reversible encephalopathy syndrome
csa,pres
cyclosporine,pres
warfarin,stuttering priapism
warfarin,priapism
warfarin,stuttering
bleomycin,pulmonary fibrosis
propafenone,mild cognitive impairment
citalopram,coronary artery disease
propafenone,coronary artery disease
citalopram,dizziness
citalopram,falls
propafenone,falls
citalopram,chest tightness
vancomycin,neurologic symptoms
piperacillin,neuralgic amyotrophy
tazobactam,neuralgic amyotrophy
tobramycin,neuralgic amyotrophy
vancomycin,neuralgic amyotrophy
methylprednisolone,seizures
methylprednisolone,transient blindness
hydroxyurea,mucocutaneous adverse events
hydroxyurea,nail hyperpigmentation
hydroxyurea,myeloproliferative disorder
hydroxyurea,longitudinal melanonychia
hydroxyurea,multiple skin cancers
hydroxyurea,nail changes
hydroxyurea,diffuse longitudinal melanonychia
hydroxyurea,multiple squamous cell carcinomas
hydroxyurea,diffuse nail hyperpigmentation
hydroxyurea,painful hand ulcer
hydroxyurea,skin cancers
ciprofloxacin,vbds
ciprofloxacin,stevens-johnson syndrome
ciprofloxacin,vanishing bile duct
ciprofloxacin,sjs
aspirin,intracranial bleeding
clopidogrel,intracranial bleeding
temozolomide,disseminated salmonellosis
ceftriaxone,fixed drug eruption
cephalosporins,fde
ceftriaxone,fde
gabapentin,renal impairment
gabapentin,renal failure
gabapentin,acute renal failure
triamcinolone acetonide,acute syphilitic posterior placoid chorioretinitis
ivta,acute syphilitic posterior placoid chorioretinitis
ivta,asppc
triamcinolone acetonide,asppc
ivta,severe chorioretinitis
aspirin,intratumoral hemorrhage
aspirin,hemorrhage
aspirin,enlargement of spontaneous hemorrhage
rituximab,acute coronary syndromes
rituximab,acute coronary syndrome
acenocoumarol,laryngeal hematoma
econazole,laryngeal hematoma
acenocoumarol,laryngeal dyspnea
econazole,laryngeal dyspnea
methylprednisolone,adrenal suppression in a fetus
methylprednisolone,adrenal suppression
disodium cromoglycate,moderately severe bronchospasm
disodium cromoglycate,urticarial rash
disodium cromoglycate,asthma
disodium cromoglycate,urticaria
dscg,urticaria
propranolol,atrioventricular block
propranolol,syncope
olanzapine,hyperglycaemic coma
leflunomide,allergic skin reactions
leflunomide,alopecia
leflunomide,diarrhea
leflunomide,hypertension
leflunomide,liver enzyme elevation
leflunomide,nausea
leflunomide,toxic epidermal necrolysis
etanercept,mediastinal lymphadenopathy
etanercept,pleurisy
etanercept,thymic enlargement
etanercept,thymic hyperplasia
oxcarbazepine,dress
oxcarbazepine,drug reaction with eosinophilia and systemic symptoms
oxcarbazepine,severe rash
partusisten,supraventricular tachycardia
erlotinib,rosaceiform eruption
methotrexate,anaphylaxis
methotrexate,anaphylactic/anaphylactoid reaction
diltiazem,fever
diltiazem hydrochloride,fever
adriamycin,congestive heart failure
adriamycin,cardiotoxicity
carbamazepine,diabetes mellitus
aripiprazole,unusual weight fluctuation
mianserin,unusual weight fluctuation
heparin,venous thromboembolism
tacrolimus,progressive liver failure
tacrolimus,severe hepatocellular necrosis
posaconazole,enterococcal peritonitis
triamcinolone,iatrogenic cushing syndrome
triamcinolone,cushing syndrome
flunitrazepam,acute ischaemia of the left leg
flunitrazepam,acute ischaemia of the leg
infliximab,syringotropic hypersensitivity reaction
leflunomide,syringotropic hypersensitivity reaction
lenalidomide,severe aplastic anemia
lenalidomide,aplastic anemia
lenalidomide,aa
amantadine,edema
amantadine,reversible corneal edema
amantadine,corneal edema
amantadine,corneal endothelial dysfunction
amantadine,bilateral corneal endothelial dysfunction
amantadine,bilateral corneal edema
amantadine,cornea
sunitinib,acute interstitial nephritis
haloperidol,extrapyramidal symptoms
haloperidol,dysphagia
methotrexate,iron deficiency anemia
methotrexate,sprue-like syndrome
imatinib,tumor lysis syndrome
ifnalpha,graves' disease
ifn-alpha,graves' disease
ifn-alpha,subacute thyroiditis
darifenacin,interstitial granulomatous dermatitis
gemcitabine,hemolytic uremic syndrome
chlorambucil,drug rash with eosinophilia and systemic symptoms
chlorambucil,acute renal failure
chlorambucil,fever
chlorambucil,hypereosinophilia
chlorambucil,skin rash
chlorambucil,dress syndrome
methotrexate,elevation of aspartate aminotrasferase
mtx,elevation of aspartate aminotrasferase
methotrexate,renal toxicity
mtx,renal toxicity
ethambutol,bitemporal visual field defects
ethambutol,mferg abnormalities
ethambutol,decreased visual acuity
tenofovir,nephrotoxicity
tdf,irreversible renal failure
tdf,rickets
tdf,nephrotoxicity
piroxicam,ulcers
immunoglobulin,acute renal failure
ivig,acute renal failure
temsirolimus,proteinuria
temsirolimus,glomerulopathy
etanercept,hypoglycemia
insulin,hypoglycemia
meglitinides,hypoglycemia
sulfonylureas,hypoglycemia
etanercept,persistent hypoglycemia
dexmedetomidine,bradycardia
glycopyrrolate,exaggerated increase of arterial blood pressure
bisphosphonate,osteonecrosis of the jaw
bisphosphonate,osteonecrosis of the skull base
quinine,ttp/hus
quinine,thrombotic microangiopathy
quinine,tma
quinine,schistocytosis
epirubicin,primary and secondary perforation of the bladder
aliskiren,acute renal failure
aliskiren,hyperkalemia
methylphenidate,acute cardiomyopathy
methylphenidate,pericarditis
methylphenidate,acute left ventricular dysfunction
methylphenidate,chest pain
methylphenidate,elevated cardiac biomarkers
enoxaparin,hepatotoxicity
methotrexate,posterior reversible encephalopathy syndrome
methotrexate,acute lymphoblastic leukemia
cyclosporine,pain syndrome
cyclosporine,cips
calcineurin,pain syndrome
cyclosporine,leg pain
